ID;JP;JP_KANA;RU;
1;;ああ;ах, ой, да;
2;会う;あう;встречаться, видеться;
3;青・青い;あお・あおい;синий цвет, синий, голубой, зеленый, бледный;
4;赤・赤い;あか・あかい;красный цвет, красный;
5;明るい;あかるい;светлый, радостный, счастливый, честный;
6;秋;あき;осень;
7;開く;あく;открываться, раскрываться, освобождаться, быть свободным;
8;開ける;あける;открывать;
9;上げる;あげる;дарить, давать;
10;朝;あさ;утро;
11;朝御飯;あさごはん;завтрак;
12;明後日;あさって;послезавтра;
13;足;あし;нога, лапа;
14;明日;あした;завтра;
15;;あそこ;там (далеко);
16;遊ぶ;あそぶ;играть, развлекаться;
17;暖かい;あたたかい;теплый;
18;頭;あたま;голова;
19;新しい;あたらしい;новый;
20;;あちら;там, та сторона (далеко);
21;厚い;あつい;толстый (о плоских предметах), теплый, сердечный;
22;暑い;あつい;жаркий;
23;熱い;あつい;горячий (при касании);
24;後;あと;после, позади;
25;;あなた;Вы;
26;兄;あに;старший брат;
27;姉;あね;старшая сестра;
28;;あの…;мм…, послушайте;
29;;あの;тот…;
30;;アパート;квартира, апартаменты;
31;浴びる;あびる;обливаться, принимать (ванну);
32;危ない;あぶない;опасный, рискованный;
33;甘い;あまい;сладкий;
34;;あまり;не очень (с отрицанием);
35;雨;あめ;дождь;
135;飴;あめ;леденец;
36;洗う;あらう;мыть, стирать, смывать;
37;;ある;быть, находиться (для неодушевленных);
#37;在る;ある;быть, находиться (для неодушевленных);
#38;有る;ある;быть, находиться;
39;歩く;あるく;идти, ходить пешком;
40;;あれ;то (далеко);
41;良い;いい・よい;хороший, подходящий;
42;;いいえ;нет;
43;;どういたしまして;не за что (на спасибо);
44;言う;いう;говорить, сказать, сообщать, рассказывать;
45;家;いえ;дом;
145;;いかが;как насчет… (кофе, чая);
46;行く;いく・ゆく;идти, ехать, направляться;
47;;いくつ;сколько? сколько лет?;
48;;いくら;сколько стоит?;
49;池;いけ;пруд;
50;医者;いしゃ;врач, доктор;
51;椅子;いす;стул;
52;忙しい;いそがしい;занятый;
53;痛い;いたい;больно;
54;;いただきます;приятного аппетита, отведаю (говорится перед едой);
55;一;いち;один;
56;一々;いちいち;по одному;
57;一日;いちにち;один день, целый день;
58;一番;いちばん;самый, лучший;
59;何時;いつ;когда;
60;五日;いつか;пятое число, пять дней;
61;一緒;いっしょ;вместе;
62;一体;いったい;одно целое;
63;五つ;いつつ;пять;
64;;いつも;всегда;
65;今;いま;сейчас;
66;意味;いみ;смысл, значение;
67;妹;いもうと;младшая сестра;
68;嫌;いや;неприятный, противный;
69;;いらっしゃいませ;добро пожаловать!;
70;入口;いりぐち;вход;
71;居る;いる;быть, существовать (об одушевлённых);
72;要る;いる;требоваться, нуждаться;
73;入れる;いれる;вкладывать, вставлять;
74;色;いろ;цвет;
75;色々;いろいろ;различный;
76;岩;いわ;скала;
77;上;うえ;верх, верхняя часть;
78;後ろ;うしろ;позади, сзади;
79;薄い;うすい;тонкий, бледный (о цвете);
80;歌;うた;песня;
81;歌う;うたう;петь;
82;家;うち;дом;
83;生まれる;うまれる;родиться;
84;海;うみ;море;
85;売る;うる;продавать;
86;上着;うわぎ;пиджак, верхняя одежда;
87;絵;え;картина, рисунок, иллюстрация;
88;映画;えいが;кино, фильм;
89;映画館;えいがかん;кинотеатр;
90;英語;えいご;английский язык;
91;;ええ;да;
92;駅;えき;станция;
93;;エレベーター;лифт;
94;円;えん;иена, круг;
95;鉛筆;えんぴつ;карандаш;
96;御〜;お〜・ご〜;вежливый префикс;
97;美味しい;おいしい;вкусный;
98;大きい・大きな;おおきい・おおきな;большой;
99;大勢;おおぜい;много народа, толпа;
100;お母さん;おかあさん;(вежл.) мама;
101;お菓子;おかし;сладости;
102;お金;おかね;деньги;
103;起きる;おきる;просыпаться;
104;置く;おく;класть, ставить;
105;奥さん;おくさん;(вежл.) жена, супруга, замужняя женщина;
106;送る;おくる;посылать, отправлять, провожать;
107;お酒;おさけ;сакэ, спиртные напитки;
108;お皿;おさら;тарелка, блюдо;
