ID;JP;JP_KANA;RU
1;相変わらず;あいかわらず;по-прежнему, по-старому, как всегда
2;;アイディア;идея, замысел, намерение
3;曖昧;あいまい;неясный, туманный, рассеянный, двусмысленный, подозрительный
4;遭う;あう;иметь опыт, сталкиваться с чем-л.
5;扇ぐ;あおぐ;раздуть, обмахнуть, веять
6;青白い;あおじろい;бледный, тусклый (зеленовато-белый)
7;明き;あき;пустота, свободное время, вакансия 
8;呆れる;あきれる;быть шокированным, чувствовать отвращение
9;;アクセント;акцент, ударение
10;;あくび;зевота, зевок, зевание
11;飽くまで;あくまで;до конца, до крайних пределов, до отвращения
12;明け方;あけがた;рассвет
13;揚げる;あげる;жарить во фритюре
14;挙げる;あげる;поднять, повысить, возвысить, приводить (пример)
15;憧れる;あこがれる;жаждать, мечтать, тосковать, обожать
16;足跡;あしあと;следы (ног, лап)
17;味わう;あじわう;вкусить, попробовать, пережить, испытать, чувствовать
18;預かる;あずかる;взять на хранение, взять под присмотр
19;暖まる;あたたまる;согреваться, греться
20;暖める;あたためる;нагревать, подогревать, греть
21;当たり前;あたりまえ;нормальный, естественный, должный, разумный
22;;あちらこちら;тут и там, всюду, местами
23;厚かましい;あつかましい;бесстыжий, бессовестный, нахальный, наглый, дерзкий
24;圧縮;あっしゅく;сжатие (в том числе файлов), конденсирование, прессовка
25;宛名;あてな;адрес, адресат, получатель
26;当てはまる;あてはまる;быть применимым, подходить, соответствовать
27;当てはめる;あてはめる;применять
28;暴れる;あばれる;драться, биться, буянить, скандалить
29;脂;あぶら;жир, масло, смазка
30;;あぶる;обжаривать, жарит, печь, греть
31;溢れる;あふれる;наводняться, переполняться, наполниться, быть переполненным
32;雨戸;あまど;ставня
33;甘やかす;あまやかす;баловать, портить
34;余る;あまる;оставаться, быть в избытке
35;編物;あみもの;вязание, плетение
36;編む;あむ;вязать, плести
37;危うい;あやうい;опасный, рискованный, ненадежный
38;怪しい;あやしい;подозрительный, сомнительный, загадочный
39;荒い・粗い;あらい;грубый, резкий, суровый
40;粗い;あらい;грубый (о поверхности, работе), крупный (об узоре), редкий (о сети)
41;粗筋;あらすじ;конспект, план, краткое содержание
42;争う;あらそう;спорить, соревноваться, ссориться
43;改めて;あらためて;опять, снова
44;改める;あらためる;менять, исправлять, улучшать
45;著す;あらわす;публиковать, писать
46;有難い;ありがたい;желанный, хороший, добрый, благодарный
47;在る;ある;быть, иметься, находиться
